scenario,image,dataset,tp,fp,fn,confidence,best_iou,latency_ms,outcome
Distancia media,DNS-7081.png,dataset_alpr,1,0,0,0.643376886844635,0.9269428979313805,33.08900003321469,TP
Distancia media,LXB-2016.png,dataset_alpr,1,0,0,0.626322865486145,0.9279810678587608,32.794500002637506,TP
Distancia media,XQE-3513.png,dataset_alpr,1,0,0,0.5975757241249084,0.9210754719258364,32.26060001179576,TP
Distancia media,UDA-3027.png,dataset_alpr,1,0,0,0.6947231292724609,0.9087713582697592,32.71109994966537,TP
Distancia media,VML-9230.png,dataset_alpr,1,0,0,0.6003981828689575,0.9282456927608068,32.17099991161376,TP
Distancia media,DBN-3001.png,dataset_alpr,1,0,0,0.7170612215995789,0.9053009961162621,32.09839994087815,TP
Distancia media,PCG-5780.png,dataset_alpr,1,0,0,0.7220690250396729,0.924442025162092,32.19539998099208,TP
Distancia media,FGA-4518.png,dataset_alpr,1,0,0,0.5258142352104187,0.9046601997241692,32.12689992506057,TP
Distancia media,EMV-2121.png,dataset_alpr,1,0,0,0.7153185606002808,0.923035890469742,32.142599928192794,TP
Distancia media,WVX-7106.png,dataset_alpr,1,0,0,0.7049704194068909,0.9141725842336186,32.27540000807494,TP
